subject,trial,lambda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1-1-5,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,3,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
1-1-5,4,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
1-1-5,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,7,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
1-1-5,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-1-5,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-2-5,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
1-3-5,1,3.000000e-01,0,1,1,1,0,1,0,0,1,1,0
1-3-5,2,3.000000e-01,0,0,0,0,0,1,0,0,1,0,0
1-3-5,3,3.000000e-01,0,1,1,1,0,1,0,0,0,1,0
1-3-5,4,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
1-3-5,5,3.000000e-01,0,0,0,1,0,1,0,0,1,0,0
1-3-5,6,3.000000e-01,0,1,1,0,0,1,0,1,1,1,0
1-3-5,7,3.000000e-01,0,0,0,0,0,1,0,1,1,1,0
1-3-5,8,3.000000e-01,0,0,1,1,0,1,0,1,1,1,0
1-3-5,9,3.000000e-01,0,0,0,1,0,1,0,0,0,1,0
1-3-5,10,3.000000e-01,0,0,1,0,0,1,0,0,1,1,0
1-4-5,1,4.000000e-01,0,1,1,1,0,1,1,1,1,1,0
1-4-5,2,4.000000e-01,0,0,1,1,0,1,1,1,1,1,0
1-4-5,3,4.000000e-01,0,1,1,1,0,1,0,0,1,1,0
1-4-5,4,4.000000e-01,1,1,1,1,0,1,0,0,1,1,0
